Designator,Mid X,Mid Y,Rotation,Layer
AMS1,123.35,-84.65,90.0,top
C1,127.55,-59.45,180.0,top
C10,195.7,-89.1625,180.0,top
C11,151.25,-83.30625,270.0,top
C12,144.0625,-79.50625,180.0,top
C13,144.0625,-81.70625,180.0,top
C14,132.65,-87.067677,90.0,top
C15,127.6,-90.7,0.0,top
C16,121.5,-90.5,180.0,top
C17,114.05,-82.832323,270.0,top
C2,183.85,-54.2,180.0,top
C3,183.0,-62.45,270.0,top
C4,102.95,-132.2,180.0,top
C5,180.05,-89.15,180.0,top
C6,190.5,-63.6,90.0,top
C7,190.5,-59.9,90.0,top
C8,193.0,-59.9,90.0,top
C9,105.1,-76.5,90.0,top
CONNL1,179.95,-62.8,270.0,top
CONNPOW1,111.0,-103.075,0.0,top
CONNR1,180.025,-53.2,270.0,top
CP1,151.1,-76.75625,0.0,top
CTMP1,203.35,-101.67,90.0,top
D1,184.35,-106.85,180.0,top
D2,165.3,-106.8,180.0,top
D3,145.9,-107.0,180.0,top
D4,127.4,-106.9,180.0,top
D5,110.5,-70.45,180.0,top
D6,112.35,-76.55,0.0,top
D7,113.95,-70.45,0.0,top
D8,107.45,-76.4,90.0,top
DRA1,100.2,-98.4,90.0,top
DRA2,212.0,-98.4,90.0,top
DRR1,187.2,-97.7,90.0,top
DRR2,168.2,-97.9,90.0,top
DRR3,148.65,-98.35,90.0,top
DRR4,130.05,-97.4,90.0,top
DS1,199.691422,-130.055,0.0,top
DS2,199.741422,-143.655,0.0,top
ESP32S3,205.1,-64.4,0.0,top
F1,110.95,-97.1,270.0,top
I2C1,196.6,-115.85,180.0,top
I2C2,200.6,-115.85,180.0,top
JR1,179.941422,-144.455,0.0,top
JR2,161.291422,-144.355,0.0,top
JR3,142.291422,-144.355,0.0,top
JR4,123.291422,-144.505,0.0,top
L1,161.95,-85.3,270.0,top
L2,165.35,-85.3,270.0,top
LEDU1,199.85,-85.6625,270.0,top
Q1,176.0,-99.05,270.0,top
Q2,157.3,-98.85,270.0,top
Q3,137.9,-99.3,270.0,top
Q4,118.702222,-99.15,270.0,top
Q5,169.4,-75.1875,0.0,top
Q6,169.5,-80.2,180.0,top
Q7,143.55,-74.55,270.0,top
R1,216.05,-76.85,90.0,top
R10,107.85,-72.55,180.0,top
R11,180.0,-84.5,0.0,top
R12,116.55,-72.45,0.0,top
R13,173.75,-75.1375,90.0,top
R14,173.8,-80.1375,90.0,top
R15,195.75,-84.6125,0.0,top
R16,144.05,-84.20625,180.0,top
R17,149.1,-83.30625,90.0,top
R18,153.45,-83.29375,90.0,top
R19,155.8,-83.29375,270.0,top
R2,216.05,-72.5,270.0,top
R3,105.15,-64.55,90.0,top
R4,193.0,-63.6,90.0,top
R5,164.95,-75.1875,270.0,top
R6,164.95,-80.225,90.0,top
R7,179.55,-79.5875,90.0,top
R8,183.2,-79.5875,90.0,top
R9,187.4,-62.0,180.0,top
RDS1,205.2125,-110.0,180.0,top
RELAY1,179.825,-115.6,270.0,top
RELAY2,161.375,-115.6,270.0,top
RELAY3,142.375,-115.575,270.0,top
RELAY4,123.2,-115.425,270.0,top
RI2C1,197.5,-97.05,180.0,top
RI2C2,202.4,-97.1,0.0,top
RLED3V1,165.35,-89.4625,270.0,top
RLED5V1,161.95,-89.4375,270.0,top
RLEDUV1,199.85,-89.5625,270.0,top
ROPT1,182.65,-95.5,180.0,top
ROPT2,163.75,-95.45,180.0,top
ROPT3,144.05,-95.55,180.0,top
ROPT4,125.764722,-95.05,180.0,top
RQOPT1,177.6,-95.15,270.0,top
RQOPT2,187.2,-102.45,90.0,top
RQOPT3,158.9,-94.7,270.0,top
RQOPT4,168.15,-102.7,90.0,top
RQOPT5,139.1,-95.3,270.0,top
RQOPT6,120.45,-95.1,270.0,top
RQOPT7,148.6,-103.35,90.0,top
RQOPT8,130.0,-102.25,90.0,top
RRQOPT1,173.9,-95.25,270.0,top
RRQOPT2,155.35,-94.7375,270.0,top
RRQOPT3,135.45,-95.35,270.0,top
RRQOPT4,116.6,-95.1,270.0,top
RTMP1,192.6,-104.55,270.0,top
SW1,176.297778,-111.2375,0.0,top
SW2,157.747778,-110.9875,0.0,top
SW3,138.147778,-111.3375,0.0,top
SW4,119.497778,-111.3875,0.0,top
SW5,172.85,-86.85,180.0,top
SW6,188.75,-86.8625,180.0,top
TERM_POW1,103.291422,-145.605,0.0,top
U1,183.15,-100.75,270.0,top
U2,164.0,-100.65,270.0,top
U3,144.6,-101.05,270.0,top
U4,126.1,-100.45,270.0,top
U5,198.275,-102.695,0.0,top
USBC1,112.25,-63.155,180.0,top
